rank,score,readiness,conversationName,conversationNameWordCount,sourcePageID,sourcePhraseID,sourceFamilyID,sourceType,entryPattern,vietnamese,english,scenarioID,phraseIDs,firstExchangePhraseID,avoidNewPhrases,audioState,note
141,108,ready-thread,Nearby?,1,viet-family-directions-near,directions-2,directions-near,tier1,traveler-first,Ở gần đây không?,Is it near here?,directions-navigation,directions-2|directions-1|directions-5|directions-3|directions-4|directions-6|directions-7|v500-dire-navi-where-is-the-nearest-restroom,directions-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
142,108,ready-thread,Turn left,2,viet-family-directions-turn-left,directions-4,directions-turn-left,tier1,traveler-first,Rẽ trái ở đâu?,Where do I turn left?,directions-navigation,directions-4|directions-1|directions-5|directions-2|directions-3|directions-6|directions-7|v500-dire-navi-where-is-the-nearest-restroom,directions-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
143,108,ready-thread,Turn right,2,viet-family-directions-turn-right,directions-5,directions-turn-right,tier1,traveler-first,Tôi rẽ phải đúng không?,Should I turn right?,directions-navigation,directions-5|directions-1|directions-4|directions-2|directions-3|directions-6|directions-7|v500-dire-navi-where-is-the-nearest-restroom,directions-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
144,104,ready-thread,Find bathroom,2,viet-family-v500-dire-navi-where-is-the-nearest-restroom,v500-dire-navi-where-is-the-nearest-restroom,v500-dire-navi-where-is-the-nearest-restroom,tier1,traveler-first,Nhà vệ sinh gần nhất ở đâu?,Where is the nearest restroom?,directions-navigation,v500-dire-navi-where-is-the-nearest-restroom|directions-1|directions-4|directions-2|directions-3|directions-5|directions-6|directions-7,v500-dire-navi-where-is-the-nearest-restroom,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
145,104,ready-thread,Get there,2,viet-family-directions-how-to-get,directions-1,directions-how-to-get,tier1,traveler-first,"Cho hỏi, đi tới đó thế nào?","Excuse me, how do I get there?",directions-navigation,directions-1|directions-2|directions-5|directions-3|directions-4|directions-6|directions-7|v500-dire-navi-where-is-the-nearest-restroom,directions-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
146,96,ready-thread,An Bang Beach,3,viet-family-city-hoian-place-an-bang,city-hoian-place-an-bang,city-hoian-place-an-bang,place,entity-topic,Biển An Bàng,An Bang Beach,city-guides,city-hoian-place-an-bang|city-hoian-go-an-bang|city-hoian-atm-an-bang-beach|city-hoian-stop-an-bang-beach|city-hoian-where-an-bang-beach|city-hoian-eat-near-an-bang-beach|city-hoian-near-an-bang-beach,city-hoian-place-an-bang,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
147,96,ready-thread,An Cuu Market,3,viet-family-city-hue-place-an-cuu-market,city-hue-place-an-cuu-market,city-hue-place-an-cuu-market,place,entity-topic,Chợ An Cựu,An Cuu Market,city-guides,city-hue-place-an-cuu-market|city-hue-entrance-an-cuu-market|city-hue-atm-an-cuu-market|city-hue-go-an-cuu-market|city-hue-stop-an-cuu-market|city-hue-where-an-cuu-market|city-hue-eat-near-an-cuu-market|city-hue-near-an-cuu-market,city-hue-place-an-cuu-market,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
148,96,ready-thread,An Dinh Palace,3,viet-family-city-hue-place-an-dinh-palace,city-hue-place-an-dinh-palace,city-hue-place-an-dinh-palace,place,entity-topic,Cung An Định,An Dinh Palace,city-guides,city-hue-place-an-dinh-palace|city-hue-go-an-dinh-palace|city-hue-atm-an-dinh-palace|city-hue-stop-an-dinh-palace|city-hue-where-an-dinh-palace|city-hue-eat-near-an-dinh-palace,city-hue-place-an-dinh-palace,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
149,96,ready-thread,An Hoi Island,3,viet-family-city-hoian-place-an-hoi-island,city-hoian-place-an-hoi-island,city-hoian-place-an-hoi-island,place,entity-topic,Đảo An Hội,An Hoi Island,city-guides,city-hoian-place-an-hoi-island|city-hoian-go-an-hoi-island|city-hoian-atm-an-hoi-island|city-hoian-stop-an-hoi-island|city-hoian-where-an-hoi-island|city-hoian-eat-near-an-hoi-island|city-hoian-near-an-hoi-island,city-hoian-place-an-hoi-island,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
150,96,ready-thread,APEC Park,2,viet-family-city-danang-place-apec-park,city-danang-place-apec-park,city-danang-place-apec-park,place,entity-topic,Công viên APEC,APEC Park,city-guides,city-danang-place-apec-park|city-danang-go-apec-park|city-danang-atm-apec-park|city-danang-stop-apec-park|city-danang-where-apec-park|city-danang-eat-near-apec-park,city-danang-place-apec-park,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
151,96,ready-thread,Asia Park,2,viet-family-city-danang-place-asia-park,city-danang-place-asia-park,city-danang-place-asia-park,place,entity-topic,Công viên Châu Á,Asia Park,city-guides,city-danang-place-asia-park|city-danang-go-asia-park|city-danang-atm-asia-park|city-danang-stop-asia-park|city-danang-where-asia-park|city-danang-eat-near-asia-park,city-danang-place-asia-park,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
152,96,ready-thread,Ba Dinh Square,3,viet-family-city-hanoi-place-ba-dinh-square,city-hanoi-place-ba-dinh-square,city-hanoi-place-ba-dinh-square,place,entity-topic,Quảng trường Ba Đình,Ba Dinh Square,city-guides,city-hanoi-place-ba-dinh-square|city-hanoi-go-ba-dinh-square|city-hanoi-atm-ba-dinh-square|city-hanoi-stop-ba-dinh-square|city-hanoi-where-ba-dinh-square|city-hanoi-eat-near-ba-dinh-square,city-hanoi-place-ba-dinh-square,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
153,96,ready-thread,Ba Na Hills,3,viet-family-city-danang-place-ba-na-hills,city-danang-place-ba-na-hills,city-danang-place-ba-na-hills,place,entity-topic,Bà Nà Hills,Ba Na Hills,city-guides,city-danang-place-ba-na-hills|ves-take-me-to-ba-na-hills|ves-two-tickets-ba-na-hills|ves-where-cable-car|ves-take-photo-for-me|directions-8|city-danang-go-ba-na-hills|city-danang-where-ba-na-hills|city-danang-stop-ba-na-hills|ves-call-taxi-for-me,city-danang-place-ba-na-hills,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
154,96,ready-thread,Bach Dang Street,3,viet-family-city-danang-place-bach-dang-street,city-danang-place-bach-dang-street,city-danang-place-bach-dang-street,place,entity-topic,Đường Bạch Đằng,Bach Dang Street,city-guides,city-danang-place-bach-dang-street|ves-to-bach-dang-street|city-danang-bach-dang-route|ves-is-this-bach-dang-street|city-danang-near-bach-dang-street|city-danang-stop-bach-dang-street|city-danang-atm-bach-dang-street|city-danang-eat-near-bach-dang-street,city-danang-place-bach-dang-street,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
155,96,ready-thread,Bach Dang Wharf,3,viet-family-city-hcmc-place-bach-dang-wharf,city-hcmc-place-bach-dang-wharf,city-hcmc-place-bach-dang-wharf,place,entity-topic,Bến Bạch Đằng,Bach Dang Wharf,city-guides,city-hcmc-place-bach-dang-wharf|city-hcmc-go-bach-dang-wharf|city-hcmc-atm-bach-dang-wharf|city-hcmc-stop-bach-dang-wharf|city-hcmc-where-bach-dang-wharf|city-hcmc-eat-near-bach-dang-wharf|city-hcmc-near-bach-dang-wharf,city-hcmc-place-bach-dang-wharf,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
156,96,ready-thread,Ban Co Peak,3,viet-family-city-danang-place-ban-co-peak,city-danang-place-ban-co-peak,city-danang-place-ban-co-peak,place,entity-topic,Đỉnh Bàn Cờ,Ban Co Peak,city-guides,city-danang-place-ban-co-peak|city-danang-go-ban-co-peak|city-danang-atm-ban-co-peak|city-danang-stop-ban-co-peak|city-danang-where-ban-co-peak|city-danang-eat-near-ban-co-peak,city-danang-place-ban-co-peak,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
157,96,ready-thread,Bao Vinh Ancient,3,viet-family-city-hue-place-bao-vinh-ancient-town,city-hue-place-bao-vinh-ancient-town,city-hue-place-bao-vinh-ancient-town,place,entity-topic,Phố cổ Bao Vinh,Bao Vinh Ancient Town,city-guides,city-hue-place-bao-vinh-ancient-town|city-hue-go-bao-vinh-ancient-town|city-hue-atm-bao-vinh-ancient-town|city-hue-stop-bao-vinh-ancient-town|city-hue-where-bao-vinh-ancient-town|city-hue-eat-near-bao-vinh-ancient-town|city-hue-near-bao-vinh-ancient-town,city-hue-place-bao-vinh-ancient-town,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
158,96,ready-thread,Ben Thanh Market,3,viet-family-city-hcmc-place-ben-thanh-market,city-hcmc-place-ben-thanh-market,city-hcmc-place-ben-thanh-market,place,entity-topic,Chợ Bến Thành,Ben Thanh Market,city-guides,city-hcmc-place-ben-thanh-market|city-hcmc-entrance-ben-thanh-market|city-hcmc-atm-ben-thanh-market|city-hcmc-go-ben-thanh|city-hcmc-stop-ben-thanh-market|city-hcmc-where-ben-thanh|city-hcmc-eat-near-ben-thanh-market|city-hcmc-near-ben-thanh-market,city-hcmc-place-ben-thanh-market,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
159,96,ready-thread,Binh Tay Market,3,viet-family-city-hcmc-place-binh-tay-market,city-hcmc-place-binh-tay-market,city-hcmc-place-binh-tay-market,place,entity-topic,Chợ Bình Tây,Binh Tay Market,city-guides,city-hcmc-place-binh-tay-market|city-hcmc-entrance-binh-tay-market|city-hcmc-atm-binh-tay-market|city-hcmc-go-binh-tay-market|city-hcmc-stop-binh-tay-market|city-hcmc-where-binh-tay-market|city-hcmc-binh-tay-far|city-hcmc-eat-near-binh-tay-market,city-hcmc-place-binh-tay-market,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
160,96,ready-thread,Bitexco Financial Tower,3,viet-family-city-hcmc-place-bitexco-tower,city-hcmc-place-bitexco-tower,city-hcmc-place-bitexco-tower,place,entity-topic,Tòa nhà Bitexco,Bitexco Financial Tower,city-guides,city-hcmc-place-bitexco-tower|city-hcmc-go-bitexco-tower|city-hcmc-atm-bitexco-tower|city-hcmc-stop-bitexco-tower|city-hcmc-where-bitexco-tower|city-hcmc-eat-near-bitexco-tower,city-hcmc-place-bitexco-tower,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
